model,n,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp
logistic_regression,1500,0.15,0.61,0.8466666666666667,0.8091503267973856,0.4927536231884058,0.7555555555555555,0.5964912280701754,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1100,175,55,170
logistic_regression,1500,0.15,0.62,0.8513333333333334,0.8118954248366013,0.5029585798816568,0.7555555555555555,0.6039076376554174,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1107,168,55,170
logistic_regression,1500,0.15,0.63,0.854,0.8116339869281046,0.5090361445783133,0.7511111111111111,0.6068222621184919,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1112,163,56,169
logistic_regression,1500,0.15,0.64,0.8553333333333333,0.8105882352941176,0.5121951219512195,0.7466666666666667,0.6075949367088608,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1115,160,57,168
logistic_regression,1500,0.15,0.65,0.8553333333333333,0.8087581699346404,0.5122699386503068,0.7422222222222222,0.6061705989110708,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1116,159,58,167
logistic_regression,1500,0.15,0.66,0.8566666666666667,0.8077124183006537,0.515527950310559,0.7377777777777778,0.6069469835466179,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1119,156,59,166
logistic_regression,1500,0.15,0.67,0.8606666666666667,0.8027450980392157,0.525974025974026,0.72,0.6078799249530957,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1129,146,63,162
logistic_regression,1500,0.15,0.6799999999999999,0.8633333333333333,0.8024836601307189,0.5331125827814569,0.7155555555555555,0.6110056925996205,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1134,141,64,161
logistic_regression,1500,0.15,0.69,0.8633333333333333,0.7969934640522875,0.5337837837837838,0.7022222222222222,0.6065259117082533,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1137,138,67,158
logistic_regression,1500,0.15,0.7,0.864,0.7918954248366012,0.5363321799307958,0.6888888888888889,0.603112840466926,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1141,134,70,155
logistic_regression,1500,0.15,0.71,0.8653333333333333,0.7908496732026143,0.5403508771929825,0.6844444444444444,0.6039215686274509,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1144,131,71,154
logistic_regression,1500,0.15,0.72,0.8666666666666667,0.7843137254901961,0.5454545454545454,0.6666666666666666,0.6,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1150,125,75,150
logistic_regression,1500,0.15,0.73,0.868,0.7777777777777777,0.5509433962264151,0.6488888888888888,0.5959183673469388,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1156,119,79,146
logistic_regression,1500,0.15,0.74,0.872,0.7783006535947712,0.5642023346303502,0.6444444444444445,0.6016597510373444,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1163,112,80,145
logistic_regression,1500,0.15,0.75,0.87,0.7679738562091503,0.56,0.6222222222222222,0.5894736842105263,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1165,110,85,140
logistic_regression,1500,0.15,0.76,0.874,0.7703267973856209,0.5737704918032787,0.6222222222222222,0.5970149253731343,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1171,104,85,140
logistic_regression,1500,0.15,0.77,0.878,0.7690196078431373,0.5897435897435898,0.6133333333333333,0.6013071895424836,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1179,96,87,138
logistic_regression,1500,0.15,0.78,0.8773333333333333,0.764967320261438,0.5887445887445888,0.6044444444444445,0.5964912280701754,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1180,95,89,136
logistic_regression,1500,0.15,0.79,0.8746666666666667,0.7542483660130719,0.5822222222222222,0.5822222222222222,0.5822222222222222,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1181,94,94,131
logistic_regression,1500,0.15,0.8,0.878,0.7488888888888889,0.5990566037735849,0.5644444444444444,0.5812356979405034,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1190,85,98,127
logistic_regression,1500,0.15,0.8099999999999999,0.88,0.74640522875817,0.6097560975609756,0.5555555555555556,0.5813953488372093,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1195,80,100,125
logistic_regression,1500,0.15,0.82,0.8806666666666667,0.7376470588235294,0.6185567010309279,0.5333333333333333,0.5727923627684964,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1201,74,105,120
logistic_regression,1500,0.15,0.83,0.8813333333333333,0.7307189542483661,0.6270270270270271,0.5155555555555555,0.5658536585365853,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1206,69,109,116
logistic_regression,1500,0.15,0.84,0.8853333333333333,0.7330718954248365,0.6480446927374302,0.5155555555555555,0.5742574257425742,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1212,63,109,116
logistic_regression,1500,0.15,0.85,0.886,0.7206535947712418,0.6646341463414634,0.48444444444444446,0.5604113110539846,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1220,55,116,109
logistic_regression,1500,0.15,0.86,0.8886666666666667,0.7130718954248365,0.6933333333333334,0.4622222222222222,0.5546666666666666,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1229,46,121,104
logistic_regression,1500,0.15,0.87,0.8913333333333333,0.7091503267973855,0.7214285714285714,0.4488888888888889,0.5534246575342465,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1236,39,124,101
logistic_regression,1500,0.15,0.88,0.892,0.7003921568627451,0.7441860465116279,0.4266666666666667,0.5423728813559322,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1242,33,129,96
logistic_regression,1500,0.15,0.89,0.8913333333333333,0.6890196078431372,0.7627118644067796,0.4,0.5247813411078717,0.9010579520697168,0.6548573081248417,0.394057721771517,0.12978688037836733,1247,28,135,90
